(1967 Italian Grand Series, raceName, Italian Grand Prix)
(1967 Italian Grand Prix, location, Autodromo Nazionale Monza)
(1967 Italian Grand Prix, date, 10 September 1967)
(1967 Italian Grand Prix, country, Italy)
(1967 Italian Grand Prix, circuit, Autodromo Nazionale Monza)
(1967 Italian Grand Prix, season, 1967 Formula One season)
(1967 Italian Grand Prix, previousRace, 1967 Canadian Grand Prix)
(1967 Italian Grand Prix, nextRace, 1967 United States Grand Prix)
(1967 Italian Grand Prix, winner, John Surtees)
(1967 Italian Grand Prix, winnerTeam, Brabham)
(1967 Italian Grand Prix, second, Jim Clark)
(1967 Italian Grand Prix, secondTeam, Brabham)
(1967 Italian Grand Prix, third, Jack Brabham)
(1967 Italian Grand Prix, thirdTeam, Cooper Car Company)
(1967 Italian Grand Prix, fastestLap, Jim Clark)
(1967 Italian Grand Prix, fastestLapDriver, Jim Clark)
(1967 Italian Grand Prix, fastestLapTeam, Team Lotus)
(1967 Italian Grand Prix, numberOfLaps, 68)
(1967 Italian Grand Prix, numberOfPitStops, ? )
(1967 Italian Grand Prix, polePositionDriver, Jim Clark)
