('Family_Feud', 'Creator', 'Mark Goodson')
('Family Feud', 'Firstaired', '1976-07-12')
('Family Feud', 'Runtime', '30 Minutes')
('Family Feud', 'Lastaired', '2023')
('Family Feud', 'Format', 'Game Show')
('Family Feud', 'Genre', 'Game Show')
('Family Feud', 'Network', 'Abc')
('Family Feud', 'Language', 'English')
('Family Feud', 'Country', 'United States')
('Family Feud', 'Broadcastarea', 'United States')
('Family Feud', 'Numseasons', '22')
('Family Feud', 'Numepisodes', '2400')
('Family Feud', 'Distributor', 'Fremantlemedia')
('Family Feud', 'Distributor', 'All_American_Television')
('Family Feud', 'Distributor', 'Viacom_Enterprises')
('Family Feud', 'Presenter', 'Steve Harvey')
('Family Feud', 'Presenter', 'Ray Combs')
('Family Feud', 'Presenter', 'Louie Anderson')
('Family Feud', 'Presenter', 'Richard Dawson')
('Family Feud', 'Presenter', 'John O\\Hurley')
