('A._Scott_Sloan', 'Subject', 'Category:Members_Of_The_United_States_House_Of_Representatives_From_Wisconsin')
('A. Scott Sloan', 'Birthdate', '"1958-05-04"')
('A. Scott Sloan', 'Occupation', 'Civil Engineer')
('A. Scott Sloan', 'Fieldofwork', 'Geotechnical Engineering')
('A. Scott Sloan', 'Publication', '"Geotechnical Stability Analysis"')
('A. Scott Sloan', 'Doctoraladvisor', 'John H. Argyris')
('A. Scott Sloan', 'Almamater', 'University Of New South Wales')
('A. Scott Sloan', 'Education', 'University Of New South Wales')
('A. Scott Sloan', 'Honor', 'Fellow Of The Australian Academy Of Science')
('A. Scott Sloan', 'Thesisyear', '1985')
('A. Scott Sloan', 'Academicdiscipline', 'Civil Engineering')
('A. Scott Sloan', 'Birthdate', '"1958-03-07"')
('A. Scott Sloan', 'Memberof', 'Australian National Committee On Large Dams')
('A. Scott Sloan', 'Contribution', 'Slope Stability Analysis')
('A. Scott Sloan', 'Notablestudent', 'Terence Chan')
('A. Scott Sloan', 'Influencedby', 'Karl Terzaghi')
('A. Scott Sloan', 'Doctoralstudent', 'Scott William Sloan')
('A. Scott Sloan', 'Workinstitution', 'University Of Newcastle')
('A. Scott Sloan', 'Spouse', '?')
('A. Scott Sloan', 'Relation_Name', '?')
