('Andrew_Kippis', 'Birthdate', '1725-03-28')
('Andrew Kippis', 'Deathdate', '1795-10-08')
('Andrew Kippis', 'Birthplace', 'Nottingham')
('Andrew Kippis', 'Deathplace', 'Westminster')
('Andrew Kippis', 'Placeofburial', 'Westminster Abbey')
('Andrew Kippis', 'Nationality', 'British')
('Andrew Kippis', 'Occupation', 'Biographer')
('Andrew Kippis', 'Academicdiscipline', 'Theology')
('Andrew Kippis', 'Employer', 'New College At Hackney')
('Andrew Kippis', 'Education', 'Northampton Academy')
('Andrew Kippis', 'Language', 'English')
('Andrew Kippis', 'Literarygenre', 'Biography')
('Andrew Kippis', 'Contribution', 'Biographia Britannica')
('Andrew Kippis', 'Notablework', 'The New Annual Register')
('Andrew Kippis', 'Knownfor', 'Biographia Britannica')
('Andrew Kippis', 'Influencedby', 'Jean Le Clerc')
('Andrew Kippis', 'Philosophicalschool', 'Unitarianism')
('Andrew Kippis', 'Maininterest', 'Biography')
('Andrew Kippis', 'Memberof', 'Royal Society Of Edinburgh')
('Andrew Kippis', 'Award', 'Fellow Of The Royal Society')
