('You_Better_Run', '22-Rdf-Syntax-Ns#Type', 'Musicalwork')
('You Better Run', 'Artist', 'Pat Benatar')
('You Better Run', 'Releasedate', '1980-06-27')
('You Better Run', 'Format', 'Single')
('You Better Run', 'Genre', 'Rock Music')
('You Better Run', 'Writer', 'Eddie Brigati')
('You Better Run', 'Writer', 'Felix Cavaliere')
('You Better Run', 'Musiccomposer', 'Billy Steinberg')
('You Better Run', 'Language', 'English')
('You Better Run', 'Studio', 'Electric Lady Studios')
('You Better Run', 'Album', 'Crimes Of Passion')
('You Better Run', 'Recordlabel', 'Polydor Records')
('You Better Run', 'Previouswork', 'Crimes Of Passion')
('You Better Run', 'Runtime', '3 Minutes And 2 Seconds')
('You Better Run', 'Producer', 'Tom Werman')
('You Better Run', 'Engineer', 'Shelly Yakus')
('You Better Run', 'Country', 'United States')
('You Better Run', 'Certification', 'Gold')
('You Better Run', 'Recorddate', '1980')
('You Better Run', 'Award', 'Mtv Video Music Award For Best Cinematography')
