('2011_Sparta_Prague_Open', 'Country', 'Czech Republic')
('2011 Sparta Prague Open', 'Sport', 'Tennis')
('2011 Sparta Prague Open', 'Venue', 'Tk Sparta Praha')
('2011 Sparta Prague Open', 'Location', 'Prague')
('2011 Sparta Prague Open', 'Organiser', 'Tk Sparta Praha')
('2011 Sparta Prague Open', 'Event', 'Tennis')
('2011 Sparta Prague Open', 'Champion', 'Magdaléna Rybáriková')
('2011 Sparta Prague Open', 'Date', '2011-05-14')
('2011 Sparta Prague Open', 'Prizemoney', '100', '000')
('2011 Sparta Prague Open', 'Nextedition', '2012 Sparta Prague Open')
('2011 Sparta Prague Open', 'Surface', 'Clay')
('2011 Sparta Prague Open', 'Category', 'Tennis Tournaments In The Czech Republic')
('2011 Sparta Prague Open', 'Previousedition', '2010 Sparta Prague Open')
('2011 Sparta Prague Open', 'Numberofparticipants', '32')
('2011 Sparta Prague Open', 'Sponsor', 'Sparta')
('2011 Sparta Prague Open', 'Associatedleague', '"Itf WomenS Circuit"')
('2011 Sparta Prague Open', 'Associatedband', 'Prague')
('2011 Sparta Prague Open', 'Tenant', 'Tk Sparta Praha')
('2011 Sparta Prague Open', 'Championindoublemale', 'Michaëlla_Krajicek')
('2011 Sparta Prague Open', 'Participant', 'Anastasia Pavlyuchenkova')
