eid 	 entity name 	 euri
1	Barack_Obama	http://dbpedia.org/resource/Barack_Obama
10	Total_Recall_(1990_film)	http://dbpedia.org/resource/Total_Recall_(1990_film)
11	Rice_University	http://dbpedia.org/resource/Rice_University
12	Czech_Republic	http://dbpedia.org/resource/Czech_Republic
13	Amsterdam	http://dbpedia.org/resource/Amsterdam
14	Henry_IV_of_France	http://dbpedia.org/resource/Henry_IV_of_France
15	Bruce_Lee	http://dbpedia.org/resource/Bruce_Lee
16	Argo_(2012_film)	http://dbpedia.org/resource/Argo_(2012_film)
17	Manchester_City_F.C.	http://dbpedia.org/resource/Manchester_City_F.C.
18	The_Cosby_Show	http://dbpedia.org/resource/The_Cosby_Show
19	Ann_Arbor,_Michigan	http://dbpedia.org/resource/Ann_Arbor,_Michigan
2	Friedrich_Engel_(mathematician)	http://dbpedia.org/resource/Friedrich_Engel_(mathematician)
20	Yukon_River	http://dbpedia.org/resource/Yukon_River
21	England	http://dbpedia.org/resource/England
22	Poland	http://dbpedia.org/resource/Poland
23	Original_Sin_(2001_film)	http://dbpedia.org/resource/Original_Sin_(2001_film)
24	Ferrari	http://dbpedia.org/resource/Ferrari
25	Crysis_2	http://dbpedia.org/resource/Crysis_2
26	Reign_of_Fire_(film)	http://dbpedia.org/resource/Reign_of_Fire_(film)
27	Beverly_Hills,_90210	http://dbpedia.org/resource/Beverly_Hills,_90210
28	Seychelles	http://dbpedia.org/resource/Seychelles
29	Friends	http://dbpedia.org/resource/Friends
3	Marie_Curie	http://dbpedia.org/resource/Marie_Curie
30	Texas	http://dbpedia.org/resource/Texas
31	Alan_Turing	http://dbpedia.org/resource/Alan_Turing
32	Aladdin_(1992_Disney_film)	http://dbpedia.org/resource/Aladdin_(1992_Disney_film)
33	Walt_Disney	http://dbpedia.org/resource/Walt_Disney
34	Albert_Einstein	http://dbpedia.org/resource/Albert_Einstein
35	Vladimir_Putin	http://dbpedia.org/resource/Vladimir_Putin
36	Mortal_Kombat_Trilogy	http://dbpedia.org/resource/Mortal_Kombat_Trilogy
37	(What_Is)_Love%3F	http://dbpedia.org/resource/(What_Is)_Love%3F
38	Knight_Rider_(1982_TV_series)	http://dbpedia.org/resource/Knight_Rider_(1982_TV_series)
39	Baywatch	http://dbpedia.org/resource/Baywatch
4	Bill_Gates	http://dbpedia.org/resource/Bill_Gates
40	Norway	http://dbpedia.org/resource/Norway
41	Nile	http://dbpedia.org/resource/Nile
42	Charles_Darwin	http://dbpedia.org/resource/Charles_Darwin
43	Love_Me_(Justin_Bieber_song)	http://dbpedia.org/resource/Love_Me_(Justin_Bieber_song)
44	Never_Let_You_Go_(Justin_Bieber_song)	http://dbpedia.org/resource/Never_Let_You_Go_(Justin_Bieber_song)
45	Lexus	http://dbpedia.org/resource/Lexus
46	J._C._Penney	http://dbpedia.org/resource/J._C._Penney
47	Benjamin_Franklin	http://dbpedia.org/resource/Benjamin_Franklin
48	Mike_Turner	http://dbpedia.org/resource/Mike_Turner
49	Usain_Bolt	http://dbpedia.org/resource/Usain_Bolt
5	Richard_Mentor_Johnson	http://dbpedia.org/resource/Richard_Mentor_Johnson
50	Joe_Biden	http://dbpedia.org/resource/Joe_Biden
6	Family_Feud	http://dbpedia.org/resource/Family_Feud
7	John_Napier	http://dbpedia.org/resource/John_Napier
8	Candle_in_the_Wind	http://dbpedia.org/resource/Candle_in_the_Wind
9	Edward_Teller	http://dbpedia.org/resource/Edward_Teller
