('Vladimir_Putin', 'Office', 'President Of Russia')
('Vladimir Putin', 'Profession', 'Politician')
('Vladimir Putin', 'Party', 'United Russia')
('Vladimir Putin', 'Termperiod', '2000–2004')
('Vladimir Putin', 'Militarybranch', 'Kgb')
('Vladimir Putin', 'Termperiod', '2004–2008')
('Vladimir Putin', 'Termperiod', '2012–2018')
('Vladimir Putin', 'Termperiod', '2018–2024')
('Vladimir Putin', 'Spouse', 'Lyudmila Putina')
('Vladimir Putin', 'Children', 'Yekaterina Putina')
('Vladimir Putin', 'Children', 'Mariya Putina')
('Vladimir Putin', 'Parent', 'Maria Ivanovna Shelomova')
('Vladimir Putin', 'Parent', 'Vladimir Spiridonovich Putin')
('Vladimir Putin', 'Education', 'Saint Petersburg State University')
('Vladimir Putin', 'Academicdegree', 'Law Degree')
('Vladimir Putin', 'Almamater', 'Saint Petersburg State University')
('Vladimir Putin', 'Religion', 'Russian Orthodox Christianity')
('Vladimir Putin', 'Nationality', 'Russia')
('Vladimir Putin', 'Height', '1.7 M')
('Vladimir Putin', 'Residence', 'Moscow Kremlin')
