eid 	 entity name 	 euri
1	3WAY_FM	http://dbpedia.org/resource/3WAY_FM
10	Roderick_Carr	http://dbpedia.org/resource/Roderick_Carr
11	2009–10_Swiss_Cup	http://dbpedia.org/resource/2009–10_Swiss_Cup
12	2011_Kor_Royal_Cup	http://dbpedia.org/resource/2011_Kor_Royal_Cup
13	2011_League_of_Ireland_Cup_Final	http://dbpedia.org/resource/2011_League_of_Ireland_Cup_Final
14	2011_Sparta_Prague_Open	http://dbpedia.org/resource/2011_Sparta_Prague_Open
141	A._Scott_Sloan	http://dbpedia.org/resource/A._Scott_Sloan
142	Juhan_Muks	http://dbpedia.org/resource/Juhan_Muks
143	Lucy_Ward_(musician)	http://dbpedia.org/resource/Lucy_Ward_(musician)
145	Roque_Ceruti	http://dbpedia.org/resource/Roque_Ceruti
147	Battle_of_Sampur	http://dbpedia.org/resource/Battle_of_Sampur
148	Battle_of_Zacatecas_(1914)	http://dbpedia.org/resource/Battle_of_Zacatecas_(1914)
149	Convoy_HX_156	http://dbpedia.org/resource/Convoy_HX_156
15	2012–13_UEFA_Champions_League	http://dbpedia.org/resource/2012–13_UEFA_Champions_League
150	Raid_on_Griessie	http://dbpedia.org/resource/Raid_on_Griessie
151	Ayrovo	http://dbpedia.org/resource/Ayrovo
152	Fleckistock	http://dbpedia.org/resource/Fleckistock
153	Henlow	http://dbpedia.org/resource/Henlow
154	North_Haledon,_New_Jersey	http://dbpedia.org/resource/North_Haledon,_New_Jersey
155	Tchonoro	http://dbpedia.org/resource/Tchonoro
156	Gerbil_mouse	http://dbpedia.org/resource/Gerbil_mouse
159	Nemapogon_nigralbella	http://dbpedia.org/resource/Nemapogon_nigralbella
16	Battle_of_Bregalnica	http://dbpedia.org/resource/Battle_of_Bregalnica
160	Schistura_jarutanini	http://dbpedia.org/resource/Schistura_jarutanini
161	Can_U_Get_wit_It	http://dbpedia.org/resource/Can_U_Get_wit_It
163	Silence_Is_Easy_(song)	http://dbpedia.org/resource/Silence_Is_Easy_(song)
164	The_Honolulu_Advertiser	http://dbpedia.org/resource/The_Honolulu_Advertiser
165	You_Better_Run	http://dbpedia.org/resource/You_Better_Run
17	Battle_of_Rottofreddo	http://dbpedia.org/resource/Battle_of_Rottofreddo
18	Burgery_ambush	http://dbpedia.org/resource/Burgery_ambush
19	Massacre_on_34th_Street	http://dbpedia.org/resource/Massacre_on_34th_Street
2	Adrian_Griffin	http://dbpedia.org/resource/Adrian_Griffin
20	Triathlon_at_the_2000_Summer_Olympics_–_Men's	http://dbpedia.org/resource/Triathlon_at_the_2000_Summer_Olympics_–_Men's
21	Akalwadi	http://dbpedia.org/resource/Akalwadi
22	Chitita	http://dbpedia.org/resource/Chitita
23	Kuleh_Bayan	http://dbpedia.org/resource/Kuleh_Bayan
25	Reamer_Barn	http://dbpedia.org/resource/Reamer_Barn
26	Richmond–Petersburg_Turnpike	http://dbpedia.org/resource/Richmond–Petersburg_Turnpike
27	Uelsby	http://dbpedia.org/resource/Uelsby
28	Wehlaberg	http://dbpedia.org/resource/Wehlaberg
29	Wernshausen	http://dbpedia.org/resource/Wernshausen
3	Andrew_Kippis	http://dbpedia.org/resource/Andrew_Kippis
30	Yayoidai_Station	http://dbpedia.org/resource/Yayoidai_Station
31	African_grey_hornbill	http://dbpedia.org/resource/African_grey_hornbill
32	Bornean_mountain_ground_squirrel	http://dbpedia.org/resource/Bornean_mountain_ground_squirrel
34	Enallagma_truncatum	http://dbpedia.org/resource/Enallagma_truncatum
35	Lepiota_helveola	http://dbpedia.org/resource/Lepiota_helveola
36	Lygodium_microphyllum	http://dbpedia.org/resource/Lygodium_microphyllum
37	Ovophis	http://dbpedia.org/resource/Ovophis
38	Rubus_arizonensis	http://dbpedia.org/resource/Rubus_arizonensis
39	Siamese_mud_carp	http://dbpedia.org/resource/Siamese_mud_carp
4	Anthony_Beaumont-Dark	http://dbpedia.org/resource/Anthony_Beaumont-Dark
40	Trachelipus_dimorphus	http://dbpedia.org/resource/Trachelipus_dimorphus
42	Hey_Boy_(Teddybears_song)	http://dbpedia.org/resource/Hey_Boy_(Teddybears_song)
43	King_of_the_Mountain_(film)	http://dbpedia.org/resource/King_of_the_Mountain_(film)
44	Our_Leading_Citizen_(1939_film)	http://dbpedia.org/resource/Our_Leading_Citizen_(1939_film)
45	Simon_(2004_film)	http://dbpedia.org/resource/Simon_(2004_film)
47	Sky_(Faye_Wong_album)	http://dbpedia.org/resource/Sky_(Faye_Wong_album)
48	Sting_Me	http://dbpedia.org/resource/Sting_Me
49	The_Crowd_Snores	http://dbpedia.org/resource/The_Crowd_Snores
5	Dallas_Keuchel	http://dbpedia.org/resource/Dallas_Keuchel
50	Touch_of_Death_(1961_film)	http://dbpedia.org/resource/Touch_of_Death_(1961_film)
51	Ashot_I_of_Iberia	http://dbpedia.org/resource/Ashot_I_of_Iberia
52	Cindy_Mackey	http://dbpedia.org/resource/Cindy_Mackey
53	Edmund_Smith_Conklin	http://dbpedia.org/resource/Edmund_Smith_Conklin
54	Fabrice_Gautrat	http://dbpedia.org/resource/Fabrice_Gautrat
55	Hiroshi_Mori_(writer)	http://dbpedia.org/resource/Hiroshi_Mori_(writer)
56	Momchil_Tsvetanov	http://dbpedia.org/resource/Momchil_Tsvetanov
